,FID,Id,lat,lon
570,570,0,33.45,113.45
571,571,0,33.45,113.55
572,572,0,33.45,113.65
573,573,0,33.45,113.75
574,574,0,33.45,113.85
575,575,0,33.45,113.95
576,576,0,33.45,114.05
577,577,0,33.45,114.15
578,578,0,33.45,114.25
579,579,0,33.45,114.35
580,580,0,33.45,114.45
581,581,0,33.45,114.55
582,582,0,33.45,114.65
583,583,0,33.45,114.75
584,584,0,33.45,114.85
585,585,0,33.45,114.95
586,586,0,33.45,115.05
587,587,0,33.45,115.15
588,588,0,33.45,115.25
589,589,0,33.55,111.05
590,590,0,33.55,111.15
591,591,0,33.55,111.25
592,592,0,33.55,111.35
593,593,0,33.55,111.45
594,594,0,33.55,111.55
595,595,0,33.55,111.65
596,596,0,33.55,111.75
597,597,0,33.55,111.85
598,598,0,33.55,111.95
599,599,0,33.55,112.05
600,600,0,33.55,112.15
601,601,0,33.55,112.25
602,602,0,33.55,112.35
603,603,0,33.55,112.45
604,604,0,33.55,112.55
605,605,0,33.55,112.65
606,606,0,33.55,112.75
607,607,0,33.55,112.85
608,608,0,33.55,112.95
609,609,0,33.55,113.05
610,610,0,33.55,113.15
611,611,0,33.55,113.25
612,612,0,33.55,113.35
613,613,0,33.55,113.45
614,614,0,33.55,113.55
615,615,0,33.55,113.65
616,616,0,33.55,113.75
617,617,0,33.55,113.85
618,618,0,33.55,113.95
619,619,0,33.55,114.05
620,620,0,33.55,114.15
621,621,0,33.55,114.25
622,622,0,33.55,114.35
623,623,0,33.55,114.45
624,624,0,33.55,114.55
625,625,0,33.55,114.65
626,626,0,33.55,114.75
627,627,0,33.55,114.85
628,628,0,33.55,114.95
629,629,0,33.55,115.05
630,630,0,33.55,115.15
631,631,0,33.55,115.25
632,632,0,33.55,115.35
633,633,0,33.65,110.95
634,634,0,33.65,111.05
635,635,0,33.65,111.15
636,636,0,33.65,111.25
637,637,0,33.65,111.35
638,638,0,33.65,111.45
639,639,0,33.65,111.55
640,640,0,33.65,111.65
641,641,0,33.65,111.75
642,642,0,33.65,111.85
643,643,0,33.65,111.95
644,644,0,33.65,112.05
645,645,0,33.65,112.15
646,646,0,33.65,112.25
647,647,0,33.65,112.35
648,648,0,33.65,112.45
649,649,0,33.65,112.55
650,650,0,33.65,112.65
651,651,0,33.65,112.75
652,652,0,33.65,112.85
653,653,0,33.65,112.95
654,654,0,33.65,113.05
655,655,0,33.65,113.15
656,656,0,33.65,113.25
657,657,0,33.65,113.35
658,658,0,33.65,113.45
659,659,0,33.65,113.55
660,660,0,33.65,113.65
661,661,0,33.65,113.75
662,662,0,33.65,113.85
663,663,0,33.65,113.95
664,664,0,33.65,114.05
665,665,0,33.65,114.15
666,666,0,33.65,114.25
667,667,0,33.65,114.35
668,668,0,33.65,114.45
669,669,0,33.65,114.55
670,670,0,33.65,114.65
671,671,0,33.65,114.75
672,672,0,33.65,114.85
673,673,0,33.65,114.95
674,674,0,33.65,115.05
675,675,0,33.65,115.15
676,676,0,33.65,115.25
677,677,0,33.65,115.35
678,678,0,33.65,115.45
679,679,0,33.65,115.55
680,680,0,33.75,110.85
681,681,0,33.75,110.95
682,682,0,33.75,111.05
683,683,0,33.75,111.15
684,684,0,33.75,111.25
685,685,0,33.75,111.35
686,686,0,33.75,111.45
687,687,0,33.75,111.55
688,688,0,33.75,111.65
689,689,0,33.75,111.75
690,690,0,33.75,111.85
691,691,0,33.75,111.95
692,692,0,33.75,112.05
693,693,0,33.75,112.15
694,694,0,33.75,112.25
695,695,0,33.75,112.35
696,696,0,33.75,112.45
697,697,0,33.75,112.55
698,698,0,33.75,112.65
699,699,0,33.75,112.75
700,700,0,33.75,112.85
701,701,0,33.75,112.95
702,702,0,33.75,113.05
703,703,0,33.75,113.15
704,704,0,33.75,113.25
705,705,0,33.75,113.35
706,706,0,33.75,113.45
707,707,0,33.75,113.55
708,708,0,33.75,113.65
709,709,0,33.75,113.75
710,710,0,33.75,113.85
711,711,0,33.75,113.95
712,712,0,33.75,114.05
